i,latency_ms,action_left,action_right
228,0.018455,-100.06387,-43.682064
229,0.018672,-59.058506,-74.778015
230,0.018214,-67.24278,-47.921505
231,0.018398,-79.801994,-72.70552
232,0.018459,-72.81962,-79.093796
233,0.018445,-50.33016,-70.2687
234,0.018697,-99.76564,-84.9376
235,0.018492,-86.18261,-113.79236
236,0.018915,-98.74962,-96.10488
237,0.01873,-103.00298,-92.94793
238,0.018638,-17.755352,-44.64036
239,0.018532,-56.303425,-68.42188
240,0.01878,-98.9232,-42.843082
241,0.019119,-91.82772,-114.64243
242,0.018197,-60.7703,-8.473891
243,0.019043,-94.000175,-38.963028
244,0.018611,-61.169655,-112.64733
245,0.018687,-114.78626,-110.86388
246,0.018476,-82.97453,-111.12108
247,0.018571,0.69396526,2.627606
248,0.01847,-16.098083,-28.488773
249,0.018747,-97.66026,-98.2622
250,0.01908,-87.22742,-117.518814
251,0.018282,-47.85779,-62.4742
252,0.018631,-101.03207,-104.10616
253,0.019229,-97.007355,-112.21102
254,0.019896,-91.85008,-74.3228
255,0.019429,-89.054756,-106.920105
256,0.018289,-4.378741,-69.04854
257,0.020032,17.248396,-32.0006
258,0.018507,19.519087,-19.191153
259,0.018376,-5.744029,-66.7131
260,0.017723,19.981422,-40.928856
261,0.018496,-1.3990862,-78.393326
262,0.018674,-0.18465576,-66.36364
263,0.017843,79.55493,1.8067371
264,0.018137,19.481901,-42.7236
265,0.018009,92.75779,-8.457107
266,0.018349,-0.044610694,-78.878944
267,0.017734,35.84142,-19.230602
268,0.018824,41.376324,-53.794216
269,0.025374,67.75183,-21.47372
270,0.018298,89.976425,-9.684059
271,0.019342,102.8277,7.821231
272,0.01896,80.18869,-70.49538
273,0.019476,-41.422108,-75.11632
274,0.018431,102.65258,20.778755
275,0.017829,3.0559542,-68.275795
276,0.018716,-14.43115,-51.272438
277,0.020895,-15.415657,-67.19576
278,0.025232,35.852394,-68.446465
279,0.07608,-27.419168,-67.165665
280,0.064763,32.407326,-71.49541
281,0.043437,60.375183,-80.45925
282,0.041466,-6.8163214,-66.35091
283,0.038737,89.65358,1.322994
284,0.039433,14.526424,-76.83344
285,0.037963,94.480965,-8.029314
286,0.038361,118.93293,28.707624
287,0.039997,-0.6914546,-68.633446
288,0.039199,52.206882,-33.647343
289,0.040024,39.155952,-48.25251
290,0.037016,86.359344,2.3747509
291,0.040867,-24.068855,-81.862656
292,0.039193,46.922855,-29.396305
293,0.03965,38.147263,-58.505028
294,0.045024,67.677734,-24.927414
295,0.040745,49.080795,-42.091183
296,0.039422,45.449947,-36.174103
297,0.039409,32.600204,-53.936943
298,0.038254,4.2718005,-51.618156
299,0.041664,-21.315367,-56.319027
300,0.039057,4.8331842,-61.416603
301,0.038828,9.322581,-63.51758
302,0.038669,83.80984,-25.446526
303,0.041552,7.676998,-29.619003
304,0.039343,68.729866,-20.297312
305,0.042418,-15.448433,-73.891945
306,0.038536,97.66663,14.971952
307,0.040505,56.821938,-42.290913
308,0.040742,4.103949,-74.74352
309,0.041596,-6.563776,-65.31079
310,0.040599,-11.013956,-67.87448
311,0.044825,-28.959776,-84.68639
312,0.03899,112.55887,6.212498
313,0.041218,32.442627,-67.7631
314,0.043427,-20.10367,-74.632416
315,0.039399,22.649317,-30.76635
316,0.047162,-24.472635,-55.76905
317,0.043132,-12.839596,-81.165596
318,0.0397,21.35964,-39.454227
319,0.04048,28.475864,-72.31191
320,0.049108,-76.22294,-131.38188
321,0.050983,-85.527214,-128.5046
322,0.049398,-80.02944,-121.22599
323,0.04111,47.907173,-7.127095
324,0.040768,4.994211,35.991978
325,0.048796,-95.097115,-101.70896
326,0.049314,-93.68043,-114.58401
327,0.042817,21.443703,-53.601883
328,0.04912,-89.36741,-114.712265
329,0.041759,12.281537,32.268288
330,0.050528,-88.08265,-120.94946
331,0.049888,-79.16867,-124.3817
332,0.042275,-0.44118294,11.78173
333,0.042245,-7.672565,29.741596
334,0.041624,13.256583,38.189667
335,0.043047,22.022762,-42.05311
336,0.046959,4.3005657,10.224834
337,0.044584,60.304764,-38.808468
338,0.043613,20.017248,-37.683704
339,0.048095,-90.76838,-101.522
340,0.041744,88.468666,-3.5079768
341,0.047375,-70.604904,-106.288536
342,0.042949,-20.833687,2.3876095
343,0.048578,-80.78896,-107.284164
344,0.04297,-15.123053,-3.3829286
345,0.045022,12.587209,5.3087544
346,0.052426,-75.39039,-130.37617
347,0.045205,24.481733,-47.212753
348,0.05203,-94.633896,-128.57042
349,0.04317,40.565086,34.890102
350,0.044241,8.430576,-35.77659
351,0.048658,-76.45669,-113.693634
352,0.043692,3.2422092,23.419403
353,0.044593,9.810387,13.260575
354,0.044891,13.4733305,-44.435776
355,0.057797,-86.555954,-99.45493
356,0.045006,21.31589,25.260445
357,0.044868,5.3751454,2.7264884
358,0.043372,26.013489,29.750637
359,0.043778,11.384769,16.409344
